"Title","Year","Description","Directors","Collections","Duration","Actors"
"I Am Not a Witch (2017)","2017","The acclaimed debut feature from Rungano Nyoni is a daring, sharply satiric feminist fairy tale set in present-day Zambia. When nine-year-old orphan Shula (Margaret Mulubwa) is accused of witchcraft, she is exiled to a witch camp run by a corrupt and inept government official. Tied to the ground and told that she will turn into a goat if she tries to escape, Shula becomes a star tourist attraction exploited by those around her for financial gain. Soon she is forced to make a difficult decision: resign herself to life at the camp, or risk everything for freedom. Winner of a BAFTA award for outstanding debut, I AM NOT A WITCH is a visually imaginative, socially incisive commentary on the clash between tradition and modernity from one of contemporary cinema’s most exciting new voices.<LF>","Rungano Nyoni","Criterion","1:32:44","Maggie Mulubwa; Nellie Munamonga; Dyna Mufuni"
"Ice (1970)","1970","Shot with documentarylike immediacy on the streets of New York City, this innovative independent thriller centers on a band of revolutionaries plotting to overthrow a fascistic political regime. Using a fictitious war with Mexico as an allegory for the conflict in Vietnam, director Robert Kramer employs a striking mix of dystopian science fiction, faux vérité realism, and agitprop to dramatize the inner workings, disputes, and tensions within the group as they plan guerrilla attacks against the American government. A landmark of leftist filmmaking in America, ICE is more than just an essential time capsule of post-1968 political thought; its lessons on radical resistance and struggle remain as timely as ever.<LF>","Robert Kramer","Criterion","2:07:53","Robert Kramer; Leo Braudy"
"Jo Jo Dancer, Your Life is Calling (1986)","1986","For his directorial debut, comedy great Richard Pryor drew from one of the most painful incidents in his own life to tell the story of one man’s journey through triumph and tragedy. At the peak of his popularity, comedian Jo Jo Dancer (Pryor) seems to have it all: stardom, movie roles, record deals. But the price he pays for fame and fortune is too great. After buckling under the pressures of success and suffering a life-threatening accident, Jo Jo examines his life over the past four decades—from his upbringing in a brothel, to performances in seedy cellar nightclubs, to ultimate stardom as a rowdy, irreverent comic. Featuring music by Herbie Hancock and a score of classic R&B hits, JO JO DANCER, YOUR LIFE IS CALLING is a fearlessly personal statement from one of comedy’s most influential figures.<LF>","Richard Pryor","Criterion","1:37:22","Richard Pryor; Paula Kelly; Art Evans"
"John McEnroe: In the Realm of Perfection (2018)","2018","Narrated by Mathieu Amalric, this innovative documentary revisits a wealth of 16 mm footage of tennis superstar John McEnroe taken at the height of his career, when he competed to defend his status as the world’s top-ranked player at the 1984 French Open. Close-ups and slow-motion sequences of McEnroe playing, as well as flare-ups of his notorious on-court tantrums, reveal a “man who played on the edge of his senses.” Far from a traditional sports documentary, JOHN MCENROE: IN THE REALM OF PERFECTION expressively reshapes its material to explore both McEnroe’s game and the footage itself, creating a mesmerizing, immersive study of a driven athlete, the human body in motion, and cinema itself.<LF>","Julien Faraut","Criterion","1:35:15",""
"Just Another Girl on the I.R.T. (1992)","1992","Leslie Harris’s indie touchstone made a splash when it won a special jury prize at Sundance in 1993, offering a window into a world still sorely underrepresented in mainstream cinema: that of an ambitious, outspoken, and hilarious young black woman growing up in Brooklyn and navigating the trials and tribulations of adolescence. Boasting a charismatic performance from star Ariyan A. Johnson and a killer hip-hop and R&B soundtrack (with an emphasis on women artists), JUST ANOTHER GIRL ON THE I.R.T. is both a vivid time capsule of 1990s New York and a bracingly raw and real coming-of-age portrait that’s lost none of its vitality.","Leslie Harris","Criterion","1:37:22","Ariyan A. Johnson; Kevin Thigpen; Ebony Jerido"
"Kirikou and the Sorceress (1998)","1998","West African folktales provide the basis for this wondrously imaginative adventure, brought to colorful life through exquisite hand-drawn animation. Brave newborn Kirikou is not like other babies. He comes out of the womb walking, talking, and ready for action as he sets out on a quest to save his village from an evil sorceress. The gorgeous visuals and vibrant music of Senegalese legend Youssou N’Dour come together in a captivating fable overflowing with timeless morals, wisdom, and life lessons.<LF>","Michel Ocelot","Criterion","1:12:25","Doudou Gueye Thiaw; William Nadylam; Awa Sene Sarr"
"Kramer vs. Kramer (1979)","1979","Groundbreaking in its empathetic look at both the emotional and legal fallout of divorce, this landmark drama features powerhouse performances from Dustin Hoffman and Meryl Streep as a couple whose breakup leads to a heated custody battle in which there are no winners. A box-office smash that became a touchstone in the cultural dialogue surrounding modern marriage and contemporary gender roles, KRAMER VS. KRAMER swept the 1979 Academy Awards, garnering prizes for best picture, actor (Hoffman), supporting actress (Streep), director, and screenplay.<LF>","Robert Benton","Criterion","1:44:59","Dustin Hoffman; Meryl Streep; Jane Alexander"
"La cérémonie (1995)","1995","Catherine (Jacqueline Bisset) hires the illiterate Sophie (Sandrine Bonnaire) as her maid. But Sophie soon falls under the influence of the mysterious postal worker Jeanne (Isabelle Huppert), and the stage is set for a tale of murder, violence, and betrayal. This late-career triumph from Claude Chabrol exemplifies the New Wave auteur’s mastery of suspense and twisted psychodrama.<LF>","Claude Chabrol","Criterion","1:52:06","Sandrine Bonnaire; Isabelle Huppert; Jacqueline Bisset"
"La piscine (1969)","1969","The bright sun of the French Riviera is deceptive in this alluring work of slow-burn suspense from thriller specialist Jacques Deray and legendary screenwriter Jean-Claude Carrière. Formerly one of European cinema’s most iconic real-life couples, Alain Delon and Romy Schneider reunited for this film, bringing a palpable erotic chemistry to their performances as the bronzed and beautiful vacationers whose summer holiday on the Côte d’Azur is interrupted by the arrival of an old acquaintance (Maurice Ronet) and his eighteen-year-old daughter (Jane Birkin)—unleashing a gathering wave of sexual tension, jealousy, and sudden violence. A paragon of 1960s modernist cool thanks to effortlessly chic clothes and a loungy Michel Legrand score, LA PISCINE dives deep to reveal sinister undercurrents roiling beneath its seductive surfaces.<LF>","Jacques Deray","Criterion","2:03:53","Alain Delon; Romy Schneider; Maurice Ronet"
"La truite (1982)","1982","A young woman (Isabelle Huppert) leaves behind her family's trout farm to accompany a playboy to Japan.<LF>","Joseph Losey","Criterion","1:43:56","Isabelle Huppert"
"Leadbelly (1976)","1976","Based on the true life story of legendary folk singer Huddie Ledbetter-popularly known as Lead Belly-this sprawling saga of struggle and perseverance follows the bluesman's tumultuous journey through the segregated South of the early twentieth century as he fights to overcome racism, legal troubles, and the hardships of life on a Texas chain gang on his road to musical success. Through it all, director Gordon Parks threads Lead Belly's immortal songs through powerful moments of Black resilience and resistance.<LF>","Gordon Parks","Criterion","2:06:30","Roger E. Mosley; Paul Benjamin; Madge Sinclair"
"Les saignantes (2005)","2005","Cameroonian auteur Jean-Pierre Bekolo’s outré sci-fi satire is a blazingly Afrofeminist vision in which a pair of supernatural lesbian call girls use their powers to smash a futuristic Cameroon’s corrupt, vampiric political patriarchy. The film’s dreamlike dystopian atmosphere is heightened by an appropriately grimy, neon-spattered visual style.<LF>","Jean-Pierre Bekolo","Criterion","1:36:22","Adèle Ado; Dorylia Calmel; Emile Abossolo M'bo"
"Leslie Harris on Just Another Girl on the I.R.T. (2019)","2019","In the following interview, conducted in 2019, director Leslie Harris discusses the making of the film.<LF>","","Criterion","15:03",""
"Louder Than Bombs (2015)","2015","Norwegian director Joachim Trier’s first English-language feature centers on the death of a famous conflict photographer (Isabelle Huppert) and how her husband (Gabriel Byrne) and sons (Jesse Eisenberg and Devin Druid) cope while unraveling the truth behind the mysterious accident that claimed her life. Featuring a typically arresting performance by Isabelle Huppert—whose absent presence haunts the edges of every frame—LOUDER THAN BOMBS finds Trier applying his richly novelistic style to an empathetic exploration of trauma and healing that, despite its title, explodes with quiet force.<LF>","Joachim Trier","Criterion","1:49:14","Gabriel Byrne; Isabelle Huppert; Jesse Eisenberg; Devin Druid"
"Mad Hot Ballroom (2005)","2005","Fifth graders from across New York City’s public schools journey into the life-changing world of ballroom dancing in this irresistible documentary from Marilyn Agrelo. Told from the always candid, often hilarious perspectives of the kids themselves, MAD HOT BALLROOM traces their journeys from reluctant participants to pint-sized Astaires as they set out to win it all in a citywide competition. Along the way there are trials, tears, life lessons, and, above all, joy—especially when the kids hit the dance floor to strut their stuff.","Marilyn Agrelo","Criterion","1:45:52",""
"Madamoiselle (1966)","1966","Mademoiselle is a 1966 French - British drama film directed by Tony Richardson. The dark drama won a BAFTA award and nomination and was featured in the 2007 Brooklyn Academy of Music French film retrospective. Jeanne Moreau plays an undetected sociopath, arsonist and poisoner, a respected visiting schoolteacher and sécretaire at the Mairie in a small French village.","Tony Richardson","Criterion","1:43:31","Jeanne Moreau"
"Man with the Golden Arm, The (1955)","1955","Otto Preminger’s groundbreaking depiction of drug addiction brought an explosively controversial topic to the screen with empathy and unflinching frankness. Frank Sinatra gives a harrowing performance as an aspiring jazz drummer who, following his release from prison, struggles to stay clean while bouncing between his manipulative wife (Eleanor Parker) and a sympathetic strip-club hostess (Kim Novak). Featuring an edgy, Oscar-nominated jazz score by Elmer Bernstein and an iconic title sequence by Saul Bass, THE MAN WITH THE GOLDEN ARM defied the Production Code and ushered in a new era of grown-up, serious-minded entertainment.<LF>","Otto Preminger","Criterion","1:59:18","Frank Sinatra; Eleanor Parker; Kim Novak"
"Manchurian Candidate, The (1962)","1962","The name John Frankenheimer became forever synonymous with heart-in-the-throat filmmaking when this quintessential sixties political thriller was released. Set in the early fifties, this razor-sharp adaptation of the novel by Richard Condon concerns the decorated U.S. Army sergeant Raymond Shaw (Laurence Harvey), who as a prisoner during the Korean War is brainwashed into becoming a sleeper assassin in a Communist conspiracy, and a fellow POW (Frank Sinatra) who slowly uncovers the sinister plot. In an unforgettable performance, Angela Lansbury plays Raymond’s villainous mother, the controlling wife of a witch-hunting anti-Communist senator with his eyes on the White House. The rare film that takes aim at the frenzy of the McCarthy era while also being suffused with its Cold War paranoia, THE MANCHURIAN CANDIDATE remains potent, shocking American moviemaking.<LF><LF>Frank Sinatra is a former Korean War veteran who begins to have strange nightmares about the time he spent in a POW camp. Following a thread of memory that leads him to fellow prisoner Laurence Harvey, he uncovers a mind-blowing communist plot. Co-starring Janet Leigh and Best Supporting Actress Oscar(R) nominee Angela Lansbury as one of the meanest mothers in movie history.","John Frankenheimer","Criterion","2:06:40","Frank Sinatra; Laurence Harvey; Janet Leigh; Angela Lansbury"
"March of the Wooden Soldiers (1934)","1934","Festive fun for the whole family? Or deranged, yuletide-on-acid nightmare fuel? Whatever you think of this Laurel-and-Hardy classic-in which the legendary comedy duo set out to save Mother Peep and the merry world of Toyland from invading bogeymen-it's a singular holiday experience that has charmed (and perhaps haunted) generations of viewers with its Victor Herbert songs, stop-motion special effects, and arrestingly strange storybook imagery.<LF>","Gus Meins; Charley Rogers","Criterion","1:18:10","Stan Laurel; Oliver Hardy; Charlotte Henry"
"Master Builder, A (2014)","2014","Twenty years after their brilliant cinema-theater experiment VANYA ON 42ND STREET, Wallace Shawn and Andre´ Gregory reunited to produce another idiosyncratic film version of a classic play, this time Henrik Ibsen’s “Bygmester Solness” (“Master Builder Solness”). Brought pristinely to the screen by Jonathan Demme, this compellingly abstract reimagining features Shawn (who also wrote the adaptation) as a visionary but tyrannical middle-aged architect haunted by figures from his past, most acutely an attractive, vivacious young woman (the breathtaking newcomer Lisa Joyce) who has appeared on his doorstep. Also featuring standout supporting performances by Julie Hagerty, Larry Pine, and Gregory, A MASTER BUILDER, like VANYA, is the result of many years of rehearsals, a living, breathing, constantly shifting work that unites theater, film, and dream.<LF>","Jonathan Demme","Criterion","2:07:29","Wallace Shawn; Julie Hagerty; Lisa Joyce"
"Matador (1986)","1986","Once-great Spanish matador Diego (Nacho Martínez) has been retired from the ring by a gruesome gore wound. Diego is idolized by Ángel (Antonio Banderas), who seeks out Diego’s assistance in preparing for a bullfighting career despite his squeamishness. To prove his “machismo,” Ángel attempts to rape Diego’s girlfriend, setting in motion a chain of events that will draw Diego and a femme-fatale attorney (Assumpta Serna) into a lurid web of sadomasochistic violence and reveal their most perverse desires.<LF>","Pedro Almodóvar","Criterion","1:47:12","Nacho Martínez; Antonio Banderas; Assumpta Serna"
"Miao Miao (2008)","2008","An introverted high school student struggles to adjust to her new life in Taipei before meeting an outgoing classmate and a brooding music shop owner.<LF>","Cheng Hsiao-tse","Criterion","1:24:13",""
"Ministry of Fear (1944)","1944","Suffused with dread and paranoia, this Fritz Lang adaptation of a novel by Graham Greene is a plunge into the eerie shadows of a world turned upside down by war. En route to London after being released from a mental institution, Stephen Neale (Ray Milland) stops at a seemingly innocent village fair, after which he finds himself caught in the web of a sinister underworld with possible Nazi connections. Lang was among the most illustrious of the European émigré filmmakers working in Hollywood during World War II, and MINISTRY OF FEAR is one of his finest American productions, an unpredictable thriller with style to spare.<LF>","Fritz Lang","Criterion","1:27:12","Ray Milland; Marjorie Reynolds; Carl Esmond"
"Miss Annie Rooney (1942)","1942","As Shirley Temple grew up before the eyes of America, this delightful comeback vehicle offered her a chance to shine in a new kind of film: a charming teenage romance, complete with jive-talking, jitterbug-mad bobby soxers. She displays her patented pluck (and receives her first on-screen kiss) as starry-eyed fourteen-year-old Annie Rooney, who pines for nerdy classmate Marty (Dickie Moore) even though his wealthy family looks down on her working-class background. When Annie’s father (William Gargan) invents a new form of synthetic rubber, however, it may just be her ticket to love.<LF>","Edwin L. Marin","Criterion","1:26:17","Shirley Temple; William Gargan; Guy Kibbee"
"Mississippi Mermaid (1969)","1969","François Truffaut brings together icons of Gallic cool Catherine Deneuve and Jean-Paul Belmondo for a noir-tinged tale of obsessive love in the tropics. Based on the novel “Waltz in Darkness” by legendary pulp writer Cornell Woolrich, MISSISSIPPI MERMAID stars Belmondo as a wealthy plantation owner living on Réunion Island who falls madly in love with his mail-order bride (a stunning Deneuve), despite the fact that she is not quite what she seems—and may, in fact, be a lot worse.<LF><LF>-200ms","François Truffaut","Criterion","2:03:28","Catherine Deneuve; Jean-Paul Belmondo; Nelly Borgeaud"
"Model Couple, The (1977)","1977","In 1977 France, the Ministry of the Future chooses two 'normal,' white, middle-class citizens, Claudine (Anémone) and Jean-Michel (André Dussolier), for a national experiment. They will be monitored and displayed on television for six months in a model apartment outfitted with state-of-the-art products and nonstop surveillance - the template for 'a new city for the new man.' A searing satire of the breakdown of individual freedoms in the face of increasing governmental invasions of privacy, William Klein's THE MODEL COUPLE deftly investigates the fine line between democracy and totalitarianism.<LF>","William Klein","Criterion","1:41:22","Anémone; André Dussolier"
"Monday’s Girls (1993)","1993","Ngozi Onwurah’s illuminating documentary follows two Nigerian women through their differing experiences of a traditional rite of passage. As part of an initiation ceremony known as Iria, young virgins spend five weeks in “fattening rooms,” wearing heavy copper coils on their legs to enforce inactivity as they are waited on and pampered by their families, in preparation for marriage. One of the young village women, Florence, is eager to take part. But Azikiwe, who returns from the city at her father’s behest, is not certain she wants to participate. Through voice-over commentary and interviews, MONDAY’S GIRLS explores how tradition, modernity, dissent, and contradiction shape the lives of Nigerian women.<LF>","Ngozi Onwurah","Criterion","48:08",""
"Movie Crazy (1932)","1932","Harold Lloyd plays a young man who has a profound desire to be in the movies. Unfortunately, he has no real acting experience or abilities.","Clyde Bruckman","Criterion","1:36:34","Harold Lloyd"
"My Worst Nightmare (2011)","2011","Agathe (Isabelle Huppert) is an uptight, impatient art dealer who lives in an expensive Parisian apartment with her wealthy publisher husband. Patrick (Benoît Poelvoorde) is a skirt-chasing, unemployed single father who lives in his van with his son. Their lives would never intersect, except their two sons have become best friends and Agathe’s husband has hired Patrick to remodel their apartment. A hilariously incongruous comedy of manners unfolds as this odd-couple relationship turns into Agathe’s worst nightmare.<LF>","Anne Fontaine","Criterion","1:39:52","Isabelle Huppert; Benoît Poelvoorde; André Dussollier"
"National Velvet (1944)","1944","A twelve-year-old Elizabeth Taylor delivers a star-is-born performance in one of the most beloved films ever made about the bond between children and animals. She is the equine-obsessed Velvet Brown, who, after she wins a spirited steed in a raffle, works alongside a headstrong jockey (Mickey Rooney) to turn the “unbreakable” horse into a champion. The heavenly Technicolor cinematography adds to the nostalgic glow of this enduring family favorite.<LF>","Clarence Brown","Criterion","2:03:24","Mickey Rooney; Donald Crisp; Elizabeth Taylor"
"New World, The (2005)","2005","This singular vision of early-seventeenth-century America from Terrence Malick is a work of astounding elemental beauty, a poetic meditation on nature, violence, love, and civilization. It reimagines the apocryphal story of the meeting of British explorer John Smith (Colin Farrell) and Powhatan native Pocahontas (Q’orianka Kilcher, in a revelatory performance) as a romantic idyll between spiritual equals, then follows Pocahontas as she marries John Rolfe (Christian Bale) and moves to England. With production designer Jack Fisk’s raw re-creation of the Jamestown colony and Emmanuel Lubezki’s marvelous, naturally lit cinematography, THE NEW WORLD is a film of uncommon power and technical splendor, one that shows Malick at the height of his visual and philosophical powers.<LF>","Terrence Malick","Criterion","2:52:21","Colin Farrell; Q’orianka Kilcher; Christopher Plummer"
"Night Heaven Fell, The (1958)","1958","Ursula leaves the convent where she was educated, to start living with her uncle, the count Ribera, and her aunt Florentine. When she arrives, she is confronted with a local drama: a youngman from the village, Lambert, whose sister took her own life, accuses the count of being responsible for his sister's death, for having sexually assaulted her. The two men have a duel of honour, in which Lambert is severely wounded, and the count's honour is saved. Ursula acts as a nurse to Lambert, and falls in love with him, only to find out that Lambert is secretly her aunt's lover. One night, the count too, finds out his wife's affair, and again the two men fight, this time Lambert kills the count. Ursula helps him to escape. Florence, mad with jealousy and hatred for her niece, sets the police after him.<LF><LF>-300ms","Roger Vadim","Criterion","1:31:41",""
"No Ward (2009)","2009","This experimental documentary profiles displaced families from New Orleans as they restart their lives in Texas, juxtaposing the migrations that occurred as a result of Hurricane Katrina in 2005 and Hurricane Gustav in 2008.<LF>","Terence Nance","Criterion","11:22",""
"Nocturama (2016)","2016","This audacious teenage terrorism thriller from acclaimed director Bertrand Bonello recalls Robert Bresson's THE DEVIL, PROBABLY as much as it does George A. Romero's DAWN OF THE DEAD. We first follow a group of tense, shifty adolescents as they prowl the streets and subways of Paris, learning through a series of mesmerizingly choreographed set pieces that they're already well underway with a bombing plot. And then the film becomes something altogether different as these subversives tuck away inside a shopping mall and lose themselves in a consumerist wonderland of clothes, television, toys, and brilliantly deployed pop songs. Will they survive the unseen, encroaching authorities? And, as the walls close in, will they even survive each other?<LF>","Bertrand Bonello","Criterion","2:10:57","Finnegan Oldfield; Vincent Rottiers; Hamza Meziani"
"Odd Man Out (1947)","1947","Taking place largely over the course of one tense night, Carol Reed's psychological noir, set in an unnamed Belfast, stars James Mason as a revolutionary ex-con leading a robbery that goes horribly wrong. Injured and hunted by the police, he seeks refuge throughout the city, while the woman he loves (Kathleen Ryan) searches for him among the shadows. Reed and cinematographer Robert Krasker (who would collaborate again on THE THIRD MAN) create images of stunning depth for this fierce, spiritual depiction of a man's ultimate confrontation with himself.","Carol Reed","Criterion","1:56:18","James Mason; Kathleen Ryan"
"Old Dark House, The (1932)","1932","Director James Whale (FRANKENSTEIN) turned J. B. Priestley’s novel “Benighted” into a nerve-jangling tale that became the template for all spooky-house chillers to come. Stranded travelers stumble upon a strange old house and find themselves at the mercy of a highly eccentric and potentially dangerous family. This atmospheric thriller features an unforgettable Boris Karloff as the hulking, disfigured butler Morgan. Also starring in early-career roles are Melvyn Douglas, Charles Laughton, Raymond Massey, and Gloria Stuart.","James Whale","Criterion","1:11:58","Boris Karloff; Melvyn Douglas; Charles Laughton; Raymond Massey; Gloria Stuart"
"On My Way (2013)","2013","","","Criterion","1:53:14",""
"Only Angels Have Wings (1939)","1939","Electrified by crackling dialogue and visual craftsmanship of the great Howard Hawks, ONLY ANGELS HAVE WINGS stars Jean Arthur as a traveling entertainer who gets more than she bargained for during a stopover in a South American port town. There she meets a handsome and aloof daredevil pilot, played by Cary Grant, who runs an airmail company, staring down death while servicing towns in treacherous mountain terrain. Both attracted to and repelled by his romantic sense of danger, she decides to stay on, despite his protestations. This masterful and mysterious adventure, featuring Oscar-nominated special effects, high-wire aerial photography, and Rita Hayworth in a small but breakout role, explores Hawks’s recurring themes of masculine codes and the strong-willed women who question them.<LF>","Howard Hawks","Criterion","2:01:19","Cary Grant; Jean Arthur; Rita Hayworth"
"Ordinary People (1980)","1980","Winner of four Academy Awards—including best picture, director, and adapted screenplay—Robert Redford’s directorial debut, based on the novel by Judith Guest, is an intense and moving examination of a family torn apart by tension and tragedy. Donald Sutherland and Mary Tyler Moore star as the upper-middle-class couple whose “ordinary” existence is irrevocably shattered by the death of their oldest son in a boating accident. Struggling against suicide and guilt, the couple’s younger son (an Oscar-winning Timothy Hutton) begins therapy sessions with an empathetic psychiatrist (Judd Hirsch), who becomes the family’s lifeline to survival.<LF><LF>-1250ms","Robert Redford","Criterion","2:04:26","Donald Sutherland; Mary Tyler Moore; Judd Hirsch"
"Orlando (1992)","1992","Based on Virginia Woolf’s 1928 classic “Orlando: A Biography,” Sally Potter’s sumptuous fantasy stars a sublime Tilda Swinton as the eponymous seventeenth-century nobleman who, commanded by Queen Elizabeth I (played by legendary raconteur Quentin Crisp) to never age, voyages through four hundred years of English history, first as a man, then as a woman. The spectacular sets, breathtaking costumes (which serve as the inspiration for this year’s Met Gala), and Swinton’s androgynous performance style give captivating expression to Woolf’s text, a playful, ahead-of-its-time exploration of gender roles and fluidity that remains as fresh and surprising today as it was in the 1920s.<LF><LF>-1500ms","Sally Potter","Criterion","1:33:52","Tilda Swinton; Billy Zane; Quentin Crisp"
"Othello (1952)","1952","Gloriously cinematic despite its tiny budget, Orson Welles’s OTHELLO is a testament to the filmmaker’s stubborn willingness to pursue his vision to the ends of the earth. Unmatched in his passionate identification with Shakespeare’s imagination, Welles brings his inventive visual approach to this enduring tragedy of jealousy, bigotry, and rage, and also gives a towering performance as the Moor of Venice, alongside Suzanne Cloutier as the innocent Desdemona, and Micheál MacLiammóir as the scheming Iago. Shot over the course of three years in Italy and Morocco and plagued by many logistical problems, this fiercely independent film joins MACBETH and CHIMES AT MIDNIGHT in making the case for Welles as the cinema’s most audacious interpreter of the Bard.<LF>","Orson Welles","Criterion","1:33:32","Orson Welles; Suzanne Cloutier; Micheál MacLiammóir"
"Peeping Tom (1960)","1960","A frank exploration of voyeurism and violence, Michael Powell’s extraordinary film is the story of a psychopathic cameraman—his childhood traumas, sexual crises, and murderous revenge as an adult. Reviled by critics upon its initial release for its deeply unsettling subject matter, the film has since been hailed as a masterpiece.<LF>","Michael Powell","Criterion","1:41:39","Carl Boehm; Moira Shearer; Anna Massey"
"Piano Teacher, The (2001)","2001","In this riveting study of the dynamics of control, Academy Award–winning director Michael Haneke takes on Nobel laureate Elfriede Jelinek’s controversial 1983 novel about perverse female sexuality and the world of classical music. Haneke finds his match in Isabelle Huppert, who delivers an icy but quietly seething performance as Erika, a piano professor at a Viennese conservatory who lives with her mother in a claustrophobically codependent relationship. Severely repressed, she satisfies her masochistic urges only voyeuristically until she meets Walter (Benoît Magimel), a student whose desire for Erika leads to a destructive infatuation that upsets the careful equilibrium of her life. A critical breakthrough for Haneke, THE PIANO TEACHER—which won the Grand Prix as well as dual acting awards for its stars at Cannes—is a formalist masterwork that remains a shocking sensation.<LF>","Michael Haneke","Criterion","2:11:03","Isabelle Huppert; Benoît Magimel"
"Pillow Book, The (1996)","1996","Beautiful to behold and impossible to forget, THE PILLOW BOOK is Peter Greenaway’s erotically charged drama about love, death, revenge, and the indelible nature of our earliest memories. Each year on her birthday, Nagiko (Vivian Wu) would become her father’s canvas as he painted the creation myth in elaborate, elegant calligraphy on her body. Years later, she continues the practice with a succession of lovers, including a bisexual translator (Ewan McGregor) who becomes a pawn in an escalating game of vengeance against her beloved father’s exploitative publisher.<LF><LF>0ms","Peter Greenaway","Criterion","2:06:54","Vivian Wu; Ewan McGregor; Ken Ogata"
"PlayTime (1967)","1967","Jacques Tati’s gloriously choreographed, nearly wordless comedies about confusion in an age of high technology reached their apotheosis with PLAYTIME. For this monumental achievement, a nearly three-year-long, bank-breaking production, Tati again thrust the lovably old-fashioned Monsieur Hulot, along with a host of other lost souls, into a baffling modern world, this time Paris. With every inch of its superwide frame crammed with hilarity and inventiveness, PLAYTIME is a lasting record of a modern era tiptoeing on the edge of oblivion.","Jacques Tati","Criterion","2:04:05","Jacques Tati; Barbara Dennek; Georges Montant"
"Plucking the Daisy (1956)","1956","When ultra-respectable General Dumont discovers that his nubile daughter Agnes is ""A.D."", author of a scandalous under-the-counter novel, he wants her shipped to a convent; but she escapes to Paris, planning to live with her brother, ostensibly a rich artist but really a poor guide in the Balzac Museum. This misunderstanding gets both in serious trouble, and puts Agnes in immediate need of money...just the amount offered as grand prize in an amateur striptease contest, which her new boyfriend, reporter Daniel, is covering for his magazine...<LF><LF>0ms","Marc Allégret","Criterion","1:41:59","Brigitte Bardot; Daniel Gelin; Robert Hirsh"
"Point Blank (1967)","1967","With this fractured, coolly minimalist thriller, director John Boorman reimagined the film noir for a new era of Hollywood filmmaking. Lee Marvin stars as Walker, a gangster shot “point blank” and left for dead on Alcatraz by his partner, who leaves with Walker’s money and his wife. But Walker doesn’t die. Now, ruthless and unstoppable, he pursues the people who betrayed him. Based on a novel by crime-fiction specialist Donald E. Westlake, POINT BLANK combines pulp atmosphere, monumental location shooting, and edgy modernist flourishes into a riveting revenge story.<LF>","John Boorman","Criterion","1:32:00","Lee Marvin; Angie Dickinson; Keenan Wynn"
"Premiers desirs (1983)","1983","David Hamilton is principally known as a photographer, primarily for his soft-focus work on young women, but he has done five feature films -- PREMIERS DESIRS (1984) is his latest, to date, and proves once again that Hamilton knows how to photograph nubile young women in situations that are, at once, innocent and provocative. As with most of his other work, PREMIERS DESIRS is a coming-of-age drama about a group of teenage girls who leave their private school on an idyllic resort island, lose their boat, and embark on a series of romantic/erotic adventures.","David Hamilton","Criterion","1:33:04",""
"Preparations to Be Together for an Unknown Period of Time (2020)","2020","The second feature by Hungarian director Lili Horvát is a slippery, seductive investigation of memory, obsession, and delusion. After twenty years in the United States, Hungarian neurosurgeon Márta (Natasa Stork) returns to Budapest for a romantic rendezvous with János (Viktor Bodó), a fellow doctor she met at a conference. The only problem: when she arrives, János is nowhere to be seen and, when she at last tracks him down, claims the two have never met. What ensues is a tantalizing psychological puzzle that toys brilliantly with the conventions of film noir and with the viewer’s own sense of reality.<LF>","Lili Horvát","Criterion","1:34:39","Natasa Stork; Viktor Bodó; Benett Vilmányi"
"Prison in Twelve Landscapes, The (2016)","2016","The contemporary American police state shapes almost every aspect of society-whether we're aware of it or not. Without ever venturing inside a penitentiary, director Brett Story excavates the insidious, often-unseen influence that prisons-and the American system of mass incarceration-has on communities and industries all around us. From a blazing California mountainside where female prisoners fight raging wildfires to a Bronx warehouse that specializes in prison-approved care packages to an Appalachian coal town betting its future on the promise of new prison jobs to the street where Michael Brown was shot in Ferguson, this remarkably clear-eyed documentary sheds new light on how a system built on exploitation and racial injustice became woven into the fabric of everyday American life.<LF>","Brett Story","Criterion","1:26:46",""
"Queen, The (1968)","1968","More than forty years before “RuPaul’s Drag Race,” this groundbreaking documentary about the 1967 Miss All-American Camp Beauty Pageant introduced audiences to the world of competitive drag. The film takes viewers backstage with the contestants as they rehearse, compete, and transform into their drag personas in the lead-up to the big event. Organized by LGBTQ icon and activist Flawless Sabrina, the competition boasted a star-studded panel of judges including Andy Warhol, Larry Rivers, and Terry Southern. But perhaps most memorable is an epic diatribe calling out the pageant’s bias delivered by Crystal LaBeija, who would go on to form the influential House of LaBeija featured in another queer documentary landmark, PARIS IS BURNING.<LF>","Frank Simon","Criterion","1:06:27",""
"Railway Children, The (1970)","1970","Bursting with turn-of-the-century English charm, this beloved adaptation of the classic novel by Edith Nesbit has been a favorite of British children for five decades. Directed with consummate taste by Lionel Jeffries, THE RAILWAY CHILDREN stars Jenny Agutter (of WALKABOUT fame) as one of three children in a wealthy family whose lives change dramatically when their father is disgraced and they must move from London to a Yorkshire cottage near a railway station. A series of memorable episodes—birthday parties, childhood adventures, family reunions—are captured with a glowing sincerity and poignant sense of nostalgia.<LF>","Lionel Jeffries","Criterion","1:49:35","Dinah Sheridan; Jenny Agutter; Sally Thomsett"
